date,county,cases,deaths,new_cases,new_deaths,new_cases_week_avg,new_deaths_week_avg,aggregation
2020-08-06,Buena Vista,1791,12,1,0,1.2857142857142858,0,none
2020-08-06,Scott,1655,14,19,1,16.142857142857142,0.42857142857142855,none
2020-08-06,Dubuque,1623,31,29,0,24.428571428571427,0.42857142857142855,none
2020-08-06,Marshall,1425,25,18,0,8.714285714285714,0.14285714285714285,none
2020-08-06,Pottawattamie,1284,26,27,2,21,0.7142857142857143,none
2020-08-06,Story,1141,14,15,0,8.142857142857142,0.14285714285714285,none
2020-08-06,Wapello,872,33,6,0,7.285714285714286,0.2857142857142857,none
2020-08-06,Muscatine,840,48,1,0,6.428571428571429,0.14285714285714285,none
2020-08-06,Webster,772,7,9,0,12.571428571428571,0.2857142857142857,none
2020-08-06,Crawford,726,3,0,0,2.7142857142857144,0,none
2020-08-06,Sioux,614,3,7,1,5.142857142857143,0.14285714285714285,none
2020-08-06,Cerro Gordo,596,17,10,0,4.142857142857143,0,none
2020-08-06,Warren,547,1,5,0,6.857142857142857,0,none
2020-08-06,Tama,545,29,2,0,1.8571428571428572,0,none
2020-08-06,Jasper,466,26,8,1,3,0.2857142857142857,none
2020-08-06,Wright,455,1,4,0,2.2857142857142856,0,none
2020-08-06,Plymouth,452,8,4,0,3.2857142857142856,0,none
2020-08-06,Louisa,378,14,0,0,0.14285714285714285,0,none
2020-08-06,Dickinson,377,4,0,0,1.4285714285714286,0,none
2020-08-06,Clinton,362,3,24,0,11.714285714285714,0.14285714285714285,none
2020-08-06,Washington,293,10,5,0,1.2857142857142858,0,none
2020-08-06,Boone,244,2,10,0,2.857142857142857,0,none
2020-08-06,Hamilton,244,1,1,0,1,0,none
2020-08-06,Franklin,233,9,6,1,4.142857142857143,0.7142857142857143,none
2020-08-06,Bremer,203,7,7,0,3.4285714285714284,0,none
2020-08-06,Clarke,195,3,5,0,3.4285714285714284,0,none
2020-08-06,Emmet,188,2,3,0,2.4285714285714284,0.14285714285714285,none
2020-08-06,Carroll,185,1,2,0,1.5714285714285714,0,none
2020-08-06,Shelby,177,1,1,0,4,0,none
2020-08-06,Clay,176,1,2,0,1.1428571428571428,0,none
2020-08-06,Hardin,173,0,2,0,2.5714285714285716,0,none
2020-08-06,Marion,162,0,3,0,2.857142857142857,0,none
2020-08-06,Allamakee,154,4,2,0,1.1428571428571428,0,none
2020-08-06,Poweshiek,153,8,2,0,2.4285714285714284,0,none
2020-08-06,Des Moines,152,2,9,0,2.142857142857143,0,none
2020-08-06,Jackson,148,1,2,0,2.5714285714285716,0,none
2020-08-06,Benton,146,1,1,0,3.4285714285714284,0,none
2020-08-06,Floyd,143,2,11,0,5.428571428571429,0,none
2020-08-06,Mahaska,138,17,1,0,0.7142857142857143,0,none
2020-08-06,O'Brien,135,2,3,1,2.857142857142857,0.14285714285714285,none
2020-08-06,Guthrie,131,5,3,0,1.1428571428571428,0,none
2020-08-06,Cedar,128,1,5,0,1.7142857142857142,0,none
2020-08-06,Jones,127,2,1,0,1.1428571428571428,0.14285714285714285,none
2020-08-06,Buchanan,123,1,5,0,2.857142857142857,0,none
2020-08-06,Hancock,121,2,4,0,1.8571428571428572,0,none
2020-08-06,Butler,119,2,1,0,2,0,none
2020-08-06,Henry,118,3,4,0,1.4285714285714286,0,none
2020-08-06,Pocahontas,115,1,1,0,0.2857142857142857,0,none
2020-08-06,Madison,114,2,7,0,3,0,none
2020-08-06,Lyon,109,2,1,2,1.5714285714285714,0.2857142857142857,none
2020-08-06,Lee,107,3,8,0,2.857142857142857,0.14285714285714285,none
2020-08-06,Cherokee,103,1,4,0,0.8571428571428571,0,none
2020-08-06,Clayton,102,3,1,0,1.8571428571428572,0,none
2020-08-06,Harrison,102,0,3,0,1.8571428571428572,0,none
2020-08-06,Humboldt,100,1,6,0,2,0,none
2020-08-06,Delaware,99,1,5,0,2.4285714285714284,0,none
2020-08-06,Taylor,96,0,2,0,0.42857142857142855,0,none
2020-08-06,Iowa,94,1,0,0,1.5714285714285714,0,none
2020-08-06,Monona,91,0,0,0,0.2857142857142857,0,none
2020-08-06,Winneshiek,91,1,1,0,2.4285714285714284,0,none
2020-08-06,Mills,85,0,0,0,1.4285714285714286,0,none
2020-08-06,Page,85,0,8,0,2.7142857142857144,0,none
2020-08-06,Calhoun,83,2,1,0,0.2857142857142857,0,none
2020-08-06,Kossuth,83,0,1,0,1,0,none
2020-08-06,Sac,82,0,1,0,0.42857142857142855,0,none
2020-08-06,Fayette,81,0,0,0,0.8571428571428571,0,none
